method,trainRMSMean_m,lastTrainRMS_m,replayRMSMean_m,replayRMSStd_m,meanErrorRMS_m,trialVariationRMS_m,replayPeakError_m,replayPeakCommand_A,trainSaturatedSamples,lastTrainSaturatedSamples,replaySaturatedSamples,frozenFFUnchanged,replayCount
standard,3.15870141741164e-05,6.4504780995065e-06,1.03752075641838e-05,6.78209390559065e-07,1.02653242268028e-05,1.81522205957948e-06,4.69999999999082e-05,1.33651044709285,0,0,0,1,5
transport_mean,3.78166193079184e-05,7.042464593902e-06,9.1460379695773e-06,1.54542725044728e-07,8.97782047681577e-06,1.95826989652511e-06,4.16000000003654e-05,1.32480925429918,0,0,0,1,5
transport_rcs,4.25281020498018e-05,6.15955237452816e-06,7.11513847858702e-06,6.04666931829895e-07,6.97073525808764e-06,1.70533838646567e-06,2.75000000002912e-05,1.32464358193415,0,0,0,1,5
raw_rcs,3.20438440906373e-05,5.38139678658189e-06,5.23945290270473e-06,3.55830801077965e-07,5.04149075358356e-06,1.63421622972187e-06,1.86000000006459e-05,1.3146067098194,0,0,0,1,5
