method,trainAcquisitions,updateDecisions,replayAcquisitions,trainingSeconds,replaySeconds,trainMovingRMSMean_m,replayMovingRMSMean_m,replayFullRMSMean_m,replayMeanErrorRMS_m,replayTrialVariationRMS_m,replayPeakError_m,replayPeakCommand_A,trainSaturatedSamples,replaySaturatedSamples
pair_confidence,30,15,5,609.1090914,90.6962559,3.27241011027515e-05,2.67621127694859e-06,4.77339377582197e-06,2.13195662286777e-06,1.91047840806982e-06,1.78000000001627e-05,1.31814521500249,0,0
pair_mean,30,15,5,591.0286481,90.8494542,3.25267020689343e-05,4.94328703417673e-06,5.40939686529651e-06,4.69000428834671e-06,1.91698081138992e-06,2.48999999996997e-05,1.30181420997637,0,0
standard,30,30,5,587.2650042,88.0672725,1.85167608383589e-05,6.53203084801657e-06,6.33501630059601e-06,6.31166406073068e-06,2.20118767690859e-06,2.87000000001036e-05,1.29703334987464,0,0
raw_rcs,30,30,5,586.6548399,84.9421607,1.91849691975781e-05,8.9948513219118e-06,8.06693802104025e-06,8.81991572883771e-06,2.40451941894134e-06,4.07000000003377e-05,1.30012245651612,0,0
